date,perturbation,model,mean_1m_temp_degC,mean_0_5m_temp_degC
2022-07-07,14,5,18.147066,16.513952
2022-07-07,15,5,18.249102,16.525154
2022-07-07,16,5,18.20115,16.559687
2022-07-07,17,5,18.12488,16.601265
2022-07-07,18,5,18.19516,16.577118
2022-07-07,19,5,18.045174,16.433054
2022-07-07,20,5,18.240961,16.572897
2022-07-07,21,5,17.985632,16.362297
2022-07-07,22,5,18.13876,16.56086
2022-07-07,23,5,18.16087,16.501772
2022-07-07,24,5,17.810347,16.337965
2022-07-07,25,5,18.333658,16.587164
2022-07-07,26,5,18.202763,16.612494
2022-07-07,27,5,17.82705,16.354326
2022-07-07,28,5,18.083168,16.479694
2022-07-07,29,5,18.043255,16.512907
2022-07-07,30,5,18.041946,16.51528
2022-07-07,0,6,18.290295,16.252346
2022-07-07,1,6,18.156164,16.32378
2022-07-07,2,6,18.283201,16.313179
2022-07-07,3,6,18.038631,16.308727
2022-07-07,4,6,18.243458,16.252254
2022-07-07,5,6,18.037697,16.320732
2022-07-07,6,6,17.981281,16.30584
2022-07-07,7,6,18.448166,16.28934
2022-07-07,8,6,18.445684,16.065271
2022-07-07,9,6,18.180138,16.285608
2022-07-07,10,6,18.237545,16.298166
2022-07-07,11,6,18.2612,16.305529
2022-07-07,12,6,18.12238,16.306385
2022-07-07,13,6,18.054054,16.324501
2022-07-07,14,6,18.206932,16.274658
2022-07-07,15,6,18.390987,16.212584
2022-07-07,16,6,18.23846,16.301716
2022-07-07,17,6,18.079021,16.39737
2022-07-07,18,6,18.198002,16.332945
2022-07-07,19,6,18.138878,16.231678
2022-07-07,20,6,18.292622,16.288113
2022-07-07,21,6,18.143261,16.175886
2022-07-07,22,6,18.127237,16.348433
2022-07-07,23,6,18.250038,16.241528
2022-07-07,24,6,17.88867,16.261147
2022-07-07,25,6,18.45214,16.233011
2022-07-07,26,6,18.166533,16.373344
2022-07-07,27,6,17.901329,16.27449
2022-07-07,28,6,18.138622,16.274078
2022-07-07,29,6,18.044228,16.337765
2022-07-07,30,6,18.04085,16.340992
2022-07-07,0,7,18.435886,16.364815
2022-07-07,1,7,18.28527,16.4376
2022-07-07,2,7,18.447313,16.444258
2022-07-07,3,7,18.12697,16.416033
2022-07-07,4,7,18.379524,16.367414
2022-07-07,5,7,18.128128,16.429367
2022-07-07,6,7,18.051504,16.407288
2022-07-07,7,7,18.65918,16.429302
2022-07-07,8,7,18.465689,15.882819
2022-07-07,9,7,18.307125,16.404003
2022-07-07,10,7,18.385109,16.421669
2022-07-07,11,7,18.417965,16.430359
2022-07-07,12,7,18.236294,16.419966
2022-07-07,13,7,18.150658,16.433651
2022-07-07,14,7,18.340069,16.393885
2022-07-07,15,7,18.525955,16.279432
2022-07-07,16,7,18.386404,16.427893
2022-07-07,17,7,18.197647,16.517712
2022-07-07,18,7,18.33989,16.458439
2022-07-07,19,7,18.241528,16.335306
2022-07-07,20,7,18.454708,16.41693
2022-07-07,21,7,18.201164,16.221973
2022-07-07,22,7,18.250526,16.469027
2022-07-07,23,7,18.3851,16.350105
2022-07-07,24,7,17.925184,16.353432
2022-07-07,25,7,18.618422,16.318895
2022-07-07,26,7,18.307137,16.499384
2022-07-07,27,7,17.939518,16.369438
2022-07-07,28,7,18.250807,16.386469
2022-07-07,29,7,18.140453,16.447529
2022-07-07,30,7,18.136683,16.450808
2022-07-07,0,8,18.187082,16.208775
2022-07-07,1,8,18.07505,16.316193
2022-07-07,2,8,18.193043,16.286375
2022-07-07,3,8,17.960165,16.274746
2022-07-07,4,8,18.141254,16.207436
2022-07-07,5,8,17.963406,16.290934
2022-07-07,6,8,17.90312,16.267933
2022-07-07,7,8,18.32269,16.252033
2022-07-07,8,8,18.225874,15.809169
2022-07-07,9,8,18.09062,16.250183
2022-07-07,10,8,18.149567,16.274452
2022-07-07,11,8,18.170456,16.286448
2022-07-07,12,8,18.040012,16.279297
2022-07-07,13,8,17.979507,16.300327
2022-07-07,14,8,18.11266,16.237774
2022-07-07,15,8,18.264751,16.145891
2022-07-07,16,8,18.153397,16.274313
2022-07-07,17,8,18.029251,16.399733
2022-07-07,18,8,18.12428,16.315603
2022-07-07,19,8,18.03014,16.17954
2022-07-07,20,8,18.195454,16.255463
2022-07-07,21,8,18.01786,16.096329
2022-07-07,22,8,18.060545,16.332779
2022-07-07,23,8,18.141525,16.200413
2022-07-07,24,8,17.80354,16.19603
2022-07-07,25,8,18.318575,16.17007
2022-07-07,26,8,18.106554,16.371414
2022-07-07,27,8,17.818005,16.210205
2022-07-07,28,8,18.045551,16.233974
2022-07-07,29,8,17.974487,16.317781
2022-07-07,30,8,17.972296,16.321991
2022-07-08,0,1,18.890064,16.911606
2022-07-08,1,1,19.137476,16.821156
2022-07-08,2,1,18.818012,16.946037
2022-07-08,3,1,18.804224,16.906307
2022-07-08,4,1,18.853086,16.944761
2022-07-08,5,1,18.933023,16.802567
2022-07-08,6,1,19.078705,16.820812
2022-07-08,7,1,18.766262,16.94206
2022-07-08,8,1,18.70535,16.857327
2022-07-08,9,1,19.396852,16.664461
2022-07-08,10,1,18.752548,16.828224
2022-07-08,11,1,18.498951,16.947601
2022-07-08,12,1,18.645685,16.920786
2022-07-08,13,1,18.404964,16.87729
2022-07-08,14,1,18.91095,16.837223
2022-07-08,15,1,18.914774,16.887295
2022-07-08,16,1,18.618347,16.782534
2022-07-08,17,1,19.069124,16.84553
2022-07-08,18,1,18.689695,16.931168
2022-07-08,19,1,18.54148,16.865667
2022-07-08,20,1,18.53809,16.927681
2022-07-08,21,1,18.58432,16.753885
2022-07-08,22,1,18.709614,16.890545
2022-07-08,23,1,18.937387,16.87967
2022-07-08,24,1,18.347378,16.761482
2022-07-08,25,1,18.794607,16.969166
2022-07-08,26,1,18.75621,16.762995
2022-07-08,27,1,18.713533,16.873678
2022-07-08,28,1,19.150072,16.90694
2022-07-08,29,1,18.65425,16.82826
2022-07-08,30,1,18.696743,16.709244
2022-07-08,0,2,18.63101,16.788671
2022-07-08,1,2,18.765932,16.568468
2022-07-08,2,2,18.601454,16.854794
2022-07-08,3,2,18.597206,16.831017
2022-07-08,4,2,18.618507,16.842512
2022-07-08,5,2,18.644646,16.652065
2022-07-08,6,2,18.74252,16.595867
2022-07-08,7,2,18.557846,16.838165
2022-07-08,8,2,18.497272,16.752724
2022-07-08,9,2,18.878641,16.259684
2022-07-08,10,2,18.536814,16.733883
2022-07-08,11,2,18.411455,16.92352
2022-07-08,12,2,18.500021,16.878304
2022-07-08,13,2,18.352627,16.878841
2022-07-08,14,2,18.628845,16.695213
2022-07-08,15,2,18.630634,16.734055
2022-07-08,16,2,18.443007,16.704931
2022-07-08,17,2,18.74608,16.664713
2022-07-08,18,2,18.52735,16.879612
2022-07-08,19,2,18.41623,16.824072
2022-07-08,20,2,18.425173,16.891354
2022-07-08,21,2,18.412273,16.673485
2022-07-08,22,2,18.53574,16.834427
2022-07-08,23,2,18.656178,16.740904
2022-07-08,24,2,18.290712,16.763756
2022-07-08,25,2,18.572842,16.852161
2022-07-08,26,2,18.52366,16.647926
2022-07-08,27,2,18.53791,16.814428
2022-07-08,28,2,18.8068,16.680035
2022-07-08,29,2,18.49299,16.777908
2022-07-08,30,2,18.47516,16.592773
2022-07-08,0,3,18.543215,16.88105
2022-07-08,1,3,18.655693,16.750969
2022-07-08,2,3,18.52658,16.930033
2022-07-08,3,3,18.529451,16.886736
2022-07-08,4,3,18.547377,16.92549
2022-07-08,5,3,18.542418,16.745386
2022-07-08,6,3,18.643137,16.756458
2022-07-08,7,3,18.468307,16.923113
2022-07-08,8,3,18.396746,16.861591
2022-07-08,9,3,18.741056,16.615564
2022-07-08,10,3,18.425808,16.78972
2022-07-08,11,3,18.336613,16.94338
2022-07-08,12,3,18.432917,16.912891
2022-07-08,13,3,18.272945,16.8699
2022-07-08,14,3,18.519352,16.780739
2022-07-08,15,3,18.522503,16.840742
2022-07-08,16,3,18.320423,16.741505
2022-07-08,17,3,18.654613,16.801523
2022-07-08,18,3,18.456919,16.923244
2022-07-08,19,3,18.332958,16.85056
2022-07-08,20,3,18.345806,16.920486
2022-07-08,21,3,18.288876,16.7083
2022-07-08,22,3,18.456854,16.87454
2022-07-08,23,3,18.558132,16.839973
2022-07-08,24,3,18.193419,16.7371
2022-07-08,25,3,18.493893,16.950872
2022-07-08,26,3,18.403275,16.708576
2022-07-08,27,3,18.47066,16.849695
2022-07-08,28,3,18.71792,16.865059
2022-07-08,29,3,18.395855,16.797655
2022-07-08,30,3,18.350967,16.64551
2022-07-08,0,4,18.8521,16.73117
2022-07-08,1,4,19.049534,16.55823
2022-07-08,2,4,18.808125,16.793642
2022-07-08,3,4,18.814568,16.742401
2022-07-08,4,4,18.839573,16.783325
2022-07-08,5,4,18.885298,16.575897
2022-07-08,6,4,19.021269,16.56772
2022-07-08,7,4,18.738842,16.798386
2022-07-08,8,4,18.67333,16.738857
2022-07-08,9,4,19.23501,16.338604
2022-07-08,10,4,18.715261,16.650545
2022-07-08,11,4,18.539946,16.860289
2022-07-08,12,4,18.673817,16.794476
2022-07-08,13,4,18.461542,16.782852
2022-07-08,14,4,18.852112,16.623352
2022-07-08,15,4,18.846241,16.689915
2022-07-08,16,4,18.584564,16.617422
2022-07-08,17,4,19.019411,16.613617
2022-07-08,18,4,18.70678,16.801126
2022-07-08,19,4,18.55909,16.741241
2022-07-08,20,4,18.559555,16.823826
2022-07-08,21,4,18.552303,16.584232
2022-07-08,22,4,18.719723,16.743856
2022-07-08,23,4,18.88592,16.679089
2022-07-08,24,4,18.39016,16.641012
2022-07-08,25,4,18.769762,16.82847
2022-07-08,26,4,18.707449,16.563358
2022-07-08,27,4,18.740276,16.713377
2022-07-08,28,4,19.093948,16.67306
2022-07-08,29,4,18.65893,16.669167
2022-07-08,30,4,18.651596,16.501387
2022-07-08,0,5,18.567213,16.878725
2022-07-08,1,5,18.618498,16.786633
2022-07-08,2,5,18.560417,16.919926
2022-07-08,3,5,18.54356,16.87303
2022-07-08,4,5,18.580425,16.9175
2022-07-08,5,5,18.509495,16.757841
2022-07-08,6,5,18.593388,16.788399
2022-07-08,7,5,18.501392,16.907667
2022-07-08,8,5,18.419067,16.84621
2022-07-08,9,5,18.680126,16.522179
2022-07-08,10,5,18.420593,16.77776
2022-07-08,11,5,18.362389,16.900244
2022-07-08,12,5,18.448412,16.880306
2022-07-08,13,5,18.259584,16.807014
2022-07-08,14,5,18.513311,16.785217
2022-07-08,15,5,18.537954,16.840626
2022-07-08,16,5,18.295681,16.715214
2022-07-08,17,5,18.634089,16.83681
2022-07-08,18,5,18.48042,16.89804
2022-07-08,19,5,18.325644,16.804482
2022-07-08,20,5,18.359951,16.873877
2022-07-08,21,5,18.246656,16.67052
2022-07-08,22,5,18.467625,16.854074
2022-07-08,23,5,18.574123,16.845308
2022-07-08,24,5,18.137142,16.668068
2022-07-08,25,5,18.539503,16.940525
2022-07-08,26,5,18.377493,16.703264
2022-07-08,27,5,18.4622,16.820045
2022-07-08,28,5,18.719032,16.902569
2022-07-08,29,5,18.379398,16.77046
2022-07-08,30,5,18.299425,16.630877
2022-07-08,0,6,18.642876,16.556871
2022-07-08,1,6,18.824842,16.419426
2022-07-08,2,6,18.601866,16.602467
2022-07-08,3,6,18.616306,16.566128
2022-07-08,4,6,18.629446,16.593699
2022-07-08,5,6,18.688366,16.44555
2022-07-08,6,6,18.804796,16.42947
2022-07-08,7,6,18.5396,16.613777
2022-07-08,8,6,18.492523,16.597757
2022-07-08,9,6,18.996567,16.329506
2022-07-08,10,6,18.534748,16.511126
2022-07-08,11,6,18.372494,16.674444
2022-07-08,12,6,18.492537,16.615562
2022-07-08,13,6,18.31784,16.629486
2022-07-08,14,6,18.653942,16.485565
2022-07-08,15,6,18.63956,16.53274
2022-07-08,16,6,18.427534,16.499866
2022-07-08,17,6,18.795794,16.451664
2022-07-08,18,6,18.518045,16.615639
2022-07-08,19,6,18.399054,16.59063
2022-07-08,20,6,18.391409,16.649101
2022-07-08,21,6,18.404917,16.485151
2022-07-08,22,6,18.53442,16.573387
2022-07-08,23,6,18.675434,16.51741
2022-07-08,24,6,18.27013,16.535614
2022-07-08,25,6,18.562881,16.631989
2022-07-08,26,6,18.536852,16.45017
2022-07-08,27,6,18.559933,16.555859
2022-07-08,28,6,18.852913,16.492083
2022-07-08,29,6,18.491182,16.529623
2022-07-08,30,6,18.497343,16.414143
2022-07-08,0,7,18.832714,16.704245
2022-07-08,1,7,19.03345,16.5769
2022-07-08,2,7,18.78761,16.758053
2022-07-08,3,7,18.786854,16.711731
2022-07-08,4,7,18.821781,16.74432
2022-07-08,5,7,18.855705,16.587101
2022-07-08,6,7,19.001705,16.58028
2022-07-08,7,7,18.717558,16.768978
2022-07-08,8,7,18.608961,16.65445
2022-07-08,9,7,19.129992,16.250656
2022-07-08,10,7,18.680363,16.646385
2022-07-08,11,7,18.5012,16.815653
2022-07-08,12,7,18.639381,16.757103
2022-07-08,13,7,18.40882,16.757748
2022-07-08,14,7,18.828896,16.633354
2022-07-08,15,7,18.819117,16.66543
2022-07-08,16,7,18.538399,16.622997
2022-07-08,17,7,18.997128,16.603922
2022-07-08,18,7,18.675735,16.762312
2022-07-08,19,7,18.516571,16.714775
2022-07-08,20,7,18.52327,16.790335
2022-07-08,21,7,18.494766,16.580265
2022-07-08,22,7,18.684551,16.714785
2022-07-08,23,7,18.866535,16.662811
2022-07-08,24,7,18.32491,16.637068
2022-07-08,25,7,18.744469,16.77134
2022-07-08,26,7,18.663403,16.581964
2022-07-08,27,7,18.705679,16.690979
2022-07-08,28,7,19.088093,16.65213
2022-07-08,29,7,18.614763,16.661373
2022-07-08,30,7,18.599386,16.533682
2022-07-08,0,8,18.483727,16.572266
2022-07-08,1,8,18.609142,16.388723
2022-07-08,2,8,18.458467,16.63444
2022-07-08,3,8,18.456532,16.602493
2022-07-08,4,8,18.47838,16.622189
2022-07-08,5,8,18.493574,16.44395
2022-07-08,6,8,18.587317,16.410156
2022-07-08,7,8,18.410444,16.636309
2022-07-08,8,8,18.351238,16.5746
2022-07-08,9,8,18.718353,16.160898
2022-07-08,10,8,18.382397,16.534702
2022-07-08,11,8,18.28264,16.743963
2022-07-08,12,8,18.366217,16.670122
2022-07-08,13,8,18.22339,16.70098
2022-07-08,14,8,18.479935,16.478386
2022-07-08,15,8,18.47816,16.526396
2022-07-08,16,8,18.288418,16.53142
2022-07-08,17,8,18.583296,16.458136
2022-07-08,18,8,18.389578,16.668184
2022-07-08,19,8,18.280937,16.644701
2022-07-08,20,8,18.293785,16.70516
2022-07-08,21,8,18.260954,16.506302
2022-07-08,22,8,18.39175,16.621416
2022-07-08,23,8,18.50169,16.522678
2022-07-08,24,8,18.14036,16.590467
2022-07-08,25,8,18.43182,16.659042
2022-07-08,26,8,18.371468,16.465733
2022-07-08,27,8,18.402718,16.595074
2022-07-08,28,8,18.641047,16.484758
2022-07-08,29,8,18.345737,16.569319
2022-07-08,30,8,18.32548,16.42521
2022-07-08,0,1,18.890064,16.911606
2022-07-08,1,1,19.137476,16.821156
2022-07-08,2,1,18.818012,16.946037
2022-07-08,3,1,18.804224,16.906307
2022-07-08,4,1,18.853086,16.944761
2022-07-08,5,1,18.933023,16.802567
2022-07-08,6,1,19.078705,16.820812
2022-07-08,7,1,18.766262,16.94206
2022-07-08,8,1,18.70535,16.857327
2022-07-08,9,1,19.396852,16.664461
2022-07-08,10,1,18.752548,16.828224
2022-07-08,11,1,18.498951,16.947601
2022-07-08,12,1,18.645685,16.920786
2022-07-08,13,1,18.404964,16.87729
2022-07-08,14,1,18.91095,16.837223
2022-07-08,15,1,18.914774,16.887295
2022-07-08,16,1,18.618347,16.782534
2022-07-08,17,1,19.069124,16.84553
2022-07-08,18,1,18.689695,16.931168
2022-07-08,19,1,18.54148,16.865667
2022-07-08,20,1,18.53809,16.927681
2022-07-08,21,1,18.58432,16.753885
2022-07-08,22,1,18.709614,16.890545
2022-07-08,23,1,18.937387,16.87967
2022-07-08,24,1,18.347378,16.761482
2022-07-08,25,1,18.794607,16.969166
2022-07-08,26,1,18.75621,16.762995
2022-07-08,27,1,18.713533,16.873678
2022-07-08,28,1,19.150072,16.90694
2022-07-08,29,1,18.65425,16.82826
2022-07-08,30,1,18.696743,16.709244
2022-07-08,0,2,18.63101,16.788671
2022-07-08,1,2,18.765932,16.568468
2022-07-08,2,2,18.601454,16.854794
2022-07-08,3,2,18.597206,16.831017
2022-07-08,4,2,18.618507,16.842512
2022-07-08,5,2,18.644646,16.652065
2022-07-08,6,2,18.74252,16.595867
2022-07-08,7,2,18.557846,16.838165
2022-07-08,8,2,18.497272,16.752724
2022-07-08,9,2,18.878641,16.259684
2022-07-08,10,2,18.536814,16.733883
2022-07-08,11,2,18.411455,16.92352
2022-07-08,12,2,18.500021,16.878304
2022-07-08,13,2,18.352627,16.878841
2022-07-08,14,2,18.628845,16.695213
2022-07-08,15,2,18.630634,16.734055
2022-07-08,16,2,18.443007,16.704931
2022-07-08,17,2,18.74608,16.664713
2022-07-08,18,2,18.52735,16.879612
2022-07-08,19,2,18.41623,16.824072
2022-07-08,20,2,18.425173,16.891354
2022-07-08,21,2,18.412273,16.673485
2022-07-08,22,2,18.53574,16.834427
2022-07-08,23,2,18.656178,16.740904
2022-07-08,24,2,18.290712,16.763756
2022-07-08,25,2,18.572842,16.852161
2022-07-08,26,2,18.52366,16.647926
2022-07-08,27,2,18.53791,16.814428
2022-07-08,28,2,18.8068,16.680035
2022-07-08,29,2,18.49299,16.777908
2022-07-08,30,2,18.47516,16.592773
2022-07-08,0,3,18.543215,16.88105
2022-07-08,1,3,18.655693,16.750969
2022-07-08,2,3,18.52658,16.930033
2022-07-08,3,3,18.529451,16.886736
2022-07-08,4,3,18.547377,16.92549
2022-07-08,5,3,18.542418,16.745386
2022-07-08,6,3,18.643137,16.756458
2022-07-08,7,3,18.468307,16.923113
2022-07-08,8,3,18.396746,16.861591
2022-07-08,9,3,18.741056,16.615564
2022-07-08,10,3,18.425808,16.78972
2022-07-08,11,3,18.336613,16.94338
2022-07-08,12,3,18.432917,16.912891
2022-07-08,13,3,18.272945,16.8699
2022-07-08,14,3,18.519352,16.780739
2022-07-08,15,3,18.522503,16.840742
2022-07-08,16,3,18.320423,16.741505
2022-07-08,17,3,18.654613,16.801523
2022-07-08,18,3,18.456919,16.923244
2022-07-08,19,3,18.332958,16.85056
2022-07-08,20,3,18.345806,16.920486
2022-07-08,21,3,18.288876,16.7083
2022-07-08,22,3,18.456854,16.87454
2022-07-08,23,3,18.558132,16.839973
2022-07-08,24,3,18.193419,16.7371
2022-07-08,25,3,18.493893,16.950872
2022-07-08,26,3,18.403275,16.708576
2022-07-08,27,3,18.47066,16.849695
2022-07-08,28,3,18.71792,16.865059
2022-07-08,29,3,18.395855,16.797655
2022-07-08,30,3,18.350967,16.64551
2022-07-08,0,4,18.8521,16.73117
2022-07-08,1,4,19.049534,16.55823
2022-07-08,2,4,18.808125,16.793642
2022-07-08,3,4,18.814568,16.742401
2022-07-08,4,4,18.839573,16.783325
2022-07-08,5,4,18.885298,16.575897
2022-07-08,6,4,19.021269,16.56772
2022-07-08,7,4,18.738842,16.798386
2022-07-08,8,4,18.67333,16.738857
2022-07-08,9,4,19.23501,16.338604
2022-07-08,10,4,18.715261,16.650545
2022-07-08,11,4,18.539946,16.860289
2022-07-08,12,4,18.673817,16.794476
2022-07-08,13,4,18.461542,16.782852
2022-07-08,14,4,18.852112,16.623352
2022-07-08,15,4,18.846241,16.689915
2022-07-08,16,4,18.584564,16.617422
2022-07-08,17,4,19.019411,16.613617
2022-07-08,18,4,18.70678,16.801126
2022-07-08,19,4,18.55909,16.741241
2022-07-08,20,4,18.559555,16.823826
2022-07-08,21,4,18.552303,16.584232
2022-07-08,22,4,18.719723,16.743856
2022-07-08,23,4,18.88592,16.679089
2022-07-08,24,4,18.39016,16.641012
2022-07-08,25,4,18.769762,16.82847
2022-07-08,26,4,18.707449,16.563358
2022-07-08,27,4,18.740276,16.713377
2022-07-08,28,4,19.093948,16.67306
2022-07-08,29,4,18.65893,16.669167
2022-07-08,30,4,18.651596,16.501387
2022-07-08,0,5,18.567213,16.878725
2022-07-08,1,5,18.618498,16.786633
2022-07-08,2,5,18.560417,16.919926
2022-07-08,3,5,18.54356,16.87303
2022-07-08,4,5,18.580425,16.9175
2022-07-08,5,5,18.509495,16.757841
2022-07-08,6,5,18.593388,16.788399
2022-07-08,7,5,18.501392,16.907667
2022-07-08,8,5,18.419067,16.84621
2022-07-08,9,5,18.680126,16.522179
2022-07-08,10,5,18.420593,16.77776
2022-07-08,11,5,18.362389,16.900244
2022-07-08,12,5,18.448412,16.880306
2022-07-08,13,5,18.259584,16.807014
2022-07-08,14,5,18.513311,16.785217
2022-07-08,15,5,18.537954,16.840626
2022-07-08,16,5,18.295681,16.715214
2022-07-08,17,5,18.634089,16.83681
2022-07-08,18,5,18.48042,16.89804
2022-07-08,19,5,18.325644,16.804482
2022-07-08,20,5,18.359951,16.873877
2022-07-08,21,5,18.246656,16.67052
2022-07-08,22,5,18.467625,16.854074
2022-07-08,23,5,18.574123,16.845308
2022-07-08,24,5,18.137142,16.668068
2022-07-08,25,5,18.539503,16.940525
2022-07-08,26,5,18.377493,16.703264
2022-07-08,27,5,18.4622,16.820045
2022-07-08,28,5,18.719032,16.902569
2022-07-08,29,5,18.379398,16.77046
2022-07-08,30,5,18.299425,16.630877
2022-07-08,0,6,18.642876,16.556871
2022-07-08,1,6,18.824842,16.419426
2022-07-08,2,6,18.601866,16.602467
2022-07-08,3,6,18.616306,16.566128
2022-07-08,4,6,18.629446,16.593699
2022-07-08,5,6,18.688366,16.44555
2022-07-08,6,6,18.804796,16.42947
2022-07-08,7,6,18.5396,16.613777
2022-07-08,8,6,18.492523,16.597757
2022-07-08,9,6,18.996567,16.329506
2022-07-08,10,6,18.534748,16.511126
2022-07-08,11,6,18.372494,16.674444
